decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,month,year,day,decade,lat_grid,lon_grid,phylum_enc,class_enc,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,season_enc,species_richness,TARGET_sighting_density
17.57506,73.825394,4151.0,7,1962,7,1960,17.6,73.8,2,9,6,9,4,0,0,37,179
17.527267,73.497346,207.0,4,1962,22,1960,17.5,73.5,2,10,23,0,4,0,2,37,57
17.405959,73.7403,1500.0,7,2006,11,2000,17.4,73.7,2,10,23,61,4,3,0,51,505
17.434153,73.734277,1000.0,7,2024,13,2020,17.4,73.7,2,0,2,47,4,0,0,51,505
17.578886,73.498348,78.0,12,2017,1,2010,17.6,73.5,2,10,23,24,4,0,3,29,64
17.573541,73.49381,1000.0,6,2019,2,2010,17.6,73.5,2,10,23,15,4,3,0,29,37
17.385835,73.71049,200.0,1,2022,3,2020,17.4,73.7,2,0,2,6,4,3,3,51,388
17.452665,73.692033,312.0,7,2024,23,2020,17.5,73.7,2,9,6,22,4,0,0,15,27
17.55139,73.474573,1000.0,1,2016,3,2010,17.6,73.5,2,0,2,19,4,3,3,29,65
17.545181,73.475644,1000.0,12,2015,3,2010,17.5,73.5,2,0,2,6,4,3,3,37,145
17.722368,73.839727,993.0,3,1914,10,1910,17.7,73.8,2,10,23,33,4,0,2,40,24
17.490515,73.538674,30732.0,1,1962,15,1960,17.5,73.5,2,9,6,38,4,0,3,37,128
17.35859,73.674078,4.0,10,2025,27,2020,17.4,73.7,2,10,23,63,5,0,1,51,383
17.746889,73.828988,994.0,8,2013,5,2010,17.7,73.8,2,10,23,49,4,0,0,40,105
17.401201,73.691665,1000.0,9,1957,13,1950,17.4,73.7,2,10,23,15,4,0,0,51,322
17.605536,73.807997,509.0,9,2016,26,2010,17.6,73.8,2,10,23,65,5,0,0,37,146
17.413442,73.729952,30.0,7,2019,2,2010,17.4,73.7,2,10,23,24,4,3,0,51,505
17.447001,73.82939,1000.0,6,1959,16,1950,17.4,73.8,2,12,8,40,4,3,0,31,39
17.721005,73.807167,205.0,8,2003,13,2000,17.7,73.8,1,1,3,55,4,0,0,40,105
17.436245,73.703077,312.0,10,1961,10,1960,17.4,73.7,2,9,16,50,4,0,1,51,383
17.711917,73.497448,1000.0,10,1975,21,1970,17.7,73.5,2,12,8,62,6,2,1,7,73
17.451398,73.715206,15.0,12,2022,28,2020,17.5,73.7,2,10,23,65,4,0,3,15,31
17.543329,73.830877,1000.0,5,2022,13,2020,17.5,73.8,2,10,23,15,4,0,2,20,18
