lat_grid,lon_grid,day,month,year,decade,season_enc,coordinateUncertaintyInMeters,species_richness,order_enc,family_enc,class_enc,taxonRank_enc,basisOfRecord_enc,decimalLatitude,decimalLongitude,plant_sighting_density
17.4,73.7,29,9,2025,2020,3,549.0,112,14,0,1,2,0,17.398026,73.652387,941
17.7,73.8,28,10,2018,2010,3,993.0,232,12,6,1,2,0,17.712344,73.829187,6544
17.7,73.8,7,9,2015,2010,3,549.0,232,12,6,1,2,0,17.704005,73.797703,6544
17.4,73.5,28,9,2025,2020,3,549.0,23,12,6,1,2,0,17.422777,73.527303,128
17.7,73.8,28,9,2015,2010,3,993.0,232,3,11,1,2,0,17.702992,73.827377,6544
17.7,73.8,18,9,2024,2020,3,298.0,232,11,35,1,2,0,17.735606,73.846851,6544
17.8,73.8,16,12,2025,2020,0,549.0,34,23,69,0,4,3,17.776603,73.816571,205
17.7,73.8,17,9,2019,2010,3,1283.0,232,2,9,0,2,0,17.714895,73.815313,6544
17.4,73.6,13,10,2020,2020,3,549.0,60,23,69,0,2,3,17.419864,73.598219,435
17.7,73.8,20,9,2023,2020,3,3152.0,232,12,6,1,2,0,17.725576,73.810632,6544
17.7,73.8,16,9,2012,2010,3,150.0,232,10,12,1,2,0,17.740031,73.831939,6544
17.4,73.7,4,10,2025,2020,3,549.0,112,9,13,1,2,0,17.401227,73.665743,941
17.7,73.8,14,10,2019,2010,3,1470.0,232,14,43,1,2,0,17.713426,73.813639,6544
17.6,73.8,28,9,2021,2020,3,16511.0,81,14,0,1,2,0,17.647822,73.775465,884
17.7,73.8,22,8,2017,2010,2,205.0,232,8,25,0,2,0,17.709662,73.810894,6544
17.7,73.8,28,11,2014,2010,3,549.0,232,14,0,1,2,0,17.720043,73.839132,6544
17.7,73.8,20,9,2017,2010,3,80.0,232,17,34,1,2,0,17.732378,73.849223,6544
17.7,73.8,24,9,2016,2010,3,993.0,232,14,43,1,2,0,17.710906,73.806445,6544
17.7,73.8,16,7,2012,2010,2,61.0,232,18,83,1,2,0,17.730167,73.780729,6544
17.8,73.8,28,9,2022,2020,3,30716.0,34,6,31,1,2,0,17.786301,73.819127,205
17.4,73.7,16,9,2011,2010,3,549.0,112,26,85,1,2,0,17.359465,73.714326,941
17.4,73.5,29,10,2021,2020,3,549.0,23,12,6,1,2,0,17.392282,73.532254,128
17.7,73.8,20,9,2022,2020,3,993.0,232,12,6,1,2,0,17.719751,73.830735,6544
17.5,73.8,20,10,2023,2020,3,30732.0,17,14,41,1,2,0,17.533255,73.798806,99
17.7,73.8,21,8,2019,2010,2,227.0,232,11,35,1,2,0,17.708383,73.799308,6544
17.7,73.8,15,9,2019,2010,3,993.0,232,12,6,1,2,0,17.736857,73.825012,6544
17.4,73.5,21,1,2014,2010,0,549.0,23,3,11,1,2,0,17.413128,73.492886,128
17.4,73.6,5,11,2012,2010,3,549.0,60,23,69,0,2,3,17.399899,73.607495,435
17.7,73.8,28,3,2014,2010,1,549.0,232,2,59,0,2,0,17.71747,73.824413,6544
17.7,73.8,10,9,2019,2010,3,205.0,232,3,11,1,2,0,17.706507,73.834916,6544
17.7,73.8,6,9,2013,2010,3,3152.0,232,12,6,1,2,0,17.727411,73.822761,6544
17.7,73.8,12,2,2016,2010,0,205.0,232,8,25,0,2,0,17.738889,73.825339,6544
17.4,73.7,19,9,2022,2020,3,549.0,112,14,60,1,2,0,17.419886,73.727021,941
17.7,73.8,12,9,2024,2020,3,645.0,232,1,5,1,2,0,17.71376,73.822115,6544
17.7,73.8,12,9,2023,2020,3,993.0,232,12,6,1,2,0,17.736525,73.824014,6544
17.7,73.8,2,9,2021,2020,3,122.0,232,23,69,0,2,0,17.738994,73.80162,6544
17.7,73.8,31,7,2017,2010,2,645.0,232,10,12,1,2,0,17.726643,73.808299,6544
17.4,73.7,11,10,2015,2010,3,549.0,112,14,43,1,2,0,17.395677,73.685908,941
17.7,73.8,10,9,2018,2010,3,549.0,232,2,59,0,2,0,17.71874,73.791106,6544
17.7,73.8,22,9,2012,2010,3,10.0,232,23,69,0,2,4,17.710811,73.821213,6544
17.7,73.8,1,9,2023,2020,3,3152.0,232,10,12,1,2,0,17.712971,73.800939,6544
17.4,73.7,19,9,2022,2020,3,549.0,112,14,0,1,2,0,17.400574,73.659098,941
17.7,73.8,8,9,2014,2010,3,473.0,232,12,6,1,2,0,17.72112,73.820992,6544
17.7,73.8,2,10,2025,2020,3,60.0,232,12,6,1,2,0,17.730624,73.790826,6544
17.7,73.8,18,9,2018,2010,3,993.0,232,6,31,1,2,0,17.73038,73.803848,6544
17.7,73.8,23,8,2023,2020,2,227.0,232,8,25,0,2,0,17.734814,73.807995,6544
17.7,73.8,20,9,2022,2020,3,549.0,232,4,15,1,2,0,17.729545,73.815055,6544
17.4,73.7,20,10,2021,2020,3,549.0,112,11,35,1,2,0,17.419659,73.671111,941
17.4,73.7,16,9,2015,2010,3,549.0,112,12,6,1,2,0,17.438022,73.653275,941
17.7,73.8,6,7,2016,2010,2,5.0,232,2,59,0,2,0,17.725308,73.803523,6544
17.7,73.8,28,9,2017,2010,3,244.0,232,6,31,1,2,0,17.703377,73.837413,6544
17.7,73.8,21,10,2023,2020,3,3152.0,232,3,11,1,2,0,17.730826,73.807194,6544
17.6,73.8,12,9,2013,2010,3,549.0,81,14,41,1,2,0,17.602459,73.85,884
